184,13,429,578,51,588,12,430,14,376
12,672,880,792,141,746,47,552,599,731
181,485,399,378,374,144,350,1204,354,1169
665,166,640,930,1224,1242,140,131,73,786
1374,503,542,1102,36,327,752,573,103,490
949,544,97,1007,379,657,489,469,59,455
492,1231,122,32,56,640,354,197,709,62
492,122,947,1231,1115,354,709,1179,708,427
21,398,550,303,22,269,120,524,983,387
691,302,748,1214,541,1007,688,554,998,483
28,1251,155,1382,499,1375,262,44,667,1147
775,1144,131,97,404,1110,602,1333,576,561
903,151,73,1201,417,660,1240,1238,341,157
64,256,1156,411,568,1276,1319,439,382,71
1096,1117,761,82,747,463,1065,1368,1071,910
498,106,775,1301,1108,579,360,803,927,666
445,1281,1108,1301,131,775,640,8,987,561
492,248,19,1115,498,1124,41,708,58,1080
1337,297,442,124,340,131,82,849,1218,747
500,88,73,89,659,268,190,734,45,459
302,16,1199,538,1198,757,502,452,191,1229
151,73,140,16,903,734,1239,499,341,1238
911,378,892,1287,270,755,385,19,1169,370
1343,1198,757,115,157,1260,1251,653,410,89
277,965,927,216,984,97,287,124,278,989
4,382,629,3,306,309,1282,664,23,2
1031,677,151,654,1136,579,367,680,1320,749
367,470,442,677,204,801,247,826,131,232
420,146,797,217,133,211,787,665,222,1198
19,382,678,254,1112,21,147,1210,464,1090
704,747,1243,247,1029,934,640,1338,432,852
412,752,611,201,444,777,1374,586,512,188
516,141,431,594,1153,598,1155,608,513,1306
598,795,431,374,516,1287,594,799,755,610
1399,319,607,178,270,882,1303,1208,732,1374
550,36,120,524,1213,983,283,398,873,295
186,748,952,1073,188,1135,282,814,1070,467
1373,1205,536,670,43,976,798,1264,294,1112
315,281,339,1154,1278,272,1264,335,1149,527
281,360,315,1318,491,40,1290,1333,11,1264
289,455,60,1091,1340,924,783,1164,923,200
526,521,903,363,468,439,797,569,404,1198
39,167,439,2,404,521,1267,1262,18,468
297,849,801,232,802,665,342,247,131,73
305,123,84,353,525,274,131,344,480,44
305,123,872,102,84,353,623,283,873,525
663,525,1200,4,629,160,305,98,375,1282
526,879,440,41,793,797,900,683,334,521
1235,322,255,135,383,734,192,333,157,459
297,96,665,849,1337,131,166,442,8,808
1154,1301,798,89,734,23,660,1251,306,1220
1215,192,1251,1244,734,94,1260,563,73,89
625,1354,927,531,196,665,175,278,297,45
123,84,305,564,145,45,44,353,662,274
17,36,376,460,377,1154,640,504,72,406
753,36,391,301,1166,516,503,1030,1159,1380
1081,1181,452,1273,1275,1255,18,115,121,757
151,754,73,499,872,1375,873,787,414,45
899,292,664,326,671,573,71,24,377,3
322,1265,410,264,417,404,375,527,320,1235
944,566,787,23,333,785,629,789,1081,564
787,1383,785,381,73,148,45,155,798,89
1045,678,411,435,1119,96,1133,1122,211,993
730,247,1333,1204,867,15,124,196,930,277
3,4,2,393,388,310,21,382,664,1225
375,149,1224,629,160,94,659,417,97,133
3,4,629,382,309,2,72,255,375,23
653,814,62,683,1343,160,611,876,162,701
381,1260,292,1251,377,479,504,105,540,150
